Approval?,Project Name,City,State,Project Preview Description,Char Count,Project Description,Char Count,Key Highlight,Char Count,Focus Area(s) (Dropdown),Area Type,Population Size (City),Population Data Year,Gini Coefficient,Testimonial,Testimonial Author,Testimonial Author Title/Role,Partner(s) ,Support Type(s),Status,Start Year,End Year,Maturity Level,Cover Image (URL(s)),Project Link (URL),Resources (URL(s)),Latitude,Longitude,Id
Approved,Maryland Philanthropy Network,Baltimore,Maryland,"MPN functions as both a network convener, resource, and a collaborative architect, enabling funders to come together, learn together, and act together.",151,"MPN functions as both a network convener, resource, and a collaborative architect, enabling funders to come together, learn together, and act together.",151,"Instead of acting singularly, philanthropic infrastructure organizations serve as the central convener and coordinator for funders — aligning strategies, pooling resources, and driving a collective shift from giving in the short-term to long-term systemic change and equity. This structure enables funders to co-design with communities, share risk, and adapt together, creating a more powerful and systemic approach to tackling issues alongside grantees and the broader community.",480,"Housing, Arts & Culture, Community Leadership, Economic Opportunity",Urban,"568,271",2024,0.5139,"“There are many different ways to measure success and impact. In federal grant compliance, for example, meeting certain data and evaluation measures is considered successful. But success may be measured differently for people with lived experience. As funders, we work to better understand different measures of success and provide the best support for our partners and grantees."" ",Aliza Sollins,"Program Associate, Annie E. Casey Foundation Baltimore Civic Site",Maryland Philanthropy Network,"Cross-sector Collaboration, Strategic Co-investments",Active,2019,,,,https://www.marylandphilanthropy.org/,"https://www.placebasedimpact.nationswell.com/case-studies/baltimore 
https://communitydevelopmentmd.org/ 
https://www.hchmd.org/ 
https://www.aecf.org/",39.2905023,-76.6104072,12
Approved - awaiting copy,Steelcase,Grand Rapids,Michigan,,0,,0,,0,,Urban,"200,117",2024,0.44,,,,,,Planned,,,,,,,,,13
Getting copy next week,ServiceNow,New York,New York,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,40.7127753,-74.0059728,14
"Holding (but when ready, ask about Alaska and maybe the Dakotas?)",Partners for Rural Impact,East Texas,Texas,,0,[I would recommend featuring their Texas work: https://partnersrural.org/etxc2c/ or Appalachia https://partnersrural.org/appalachian-cradle-to-career-partnership/],163,,0,,,,,,,,,,,Planned,,,,,,,,,15
Request Pending,Benedum Foundation,Huntington ,West Virginia,,0,"The Claude Worthington Benedum Foundation has served West Virginia and Southwestern Pennsylvania since it was established in 1944 by Michael and Sarah Benedum. Grants are made to support specific initiatives in the areas of Education, Economic Development, Health, and Community Development. In West Virginia, Benedum has partnered with workforce training organization, Coalfield Development to empower the community and rebuild the economy after the decline of coal.",467,,0,"Skills Training, Economic Opportunity, Industry",Rural,"44,942",2024,,"“The people of these communities have suffered economic shock and decline. But they have persistence,” says Jen Giovannitti, president and trustee of the 80-year-old Claude Worthington Benedum Foundation. The Pittsburgh, PA private foundation invests most of its grants in West Virginia’s rural communities, including Coalfield, which Benedum discovered through its West Virginia-based program directors, who scout places and projects with promise.",,,,,Planned,,,,,,,,,13
Request Pending- followed up,Play Equity Fund,Los Angeles,California,"Play Equity Fund, a trusted intermediary, strengthens neighborhood organizations so every young person has access to recreation and safe spaces to play.",152,"In Los Angeles, philanthropy is advancing play equity — the idea that every young person, regardless of zip code, race, or income, deserves access to sports, recreation, and safe spaces to play. Rather than building new infrastructure from scratch, funders channel resources through the Play Equity Fund (PEF), a trusted intermediary that strengthens neighborhood organizations already working on the ground. This approach reweaves a fragmented system into a cohesive movement, amplifying small, hyper-local groups and ensuring that investments reflect community priorities across one of the nation’s most diverse and sprawling cities.",635,"A defining feature of Los Angeles’s approach to play equity is the creation of “intentional randomness,” ensuring every young person has access to small but pivotal opportunities that can alter a life’s trajectory. As Derek Steele of the Social Justice Learning Institute explains, those opportunities may feel random to the young person (a teacher’s encouragement, a parent insisting on soccer practice) but they are intentionally created by caring adults and community programs. By partnering with organizations like PEF to strengthen sports-based youth development and reimagine the built environment, LA’s play equity movement is making those life-changing moments more common, accessible, and equitable across neighborhoods.",729,"Sports, Community Leadership, Care Support Systems, Public Space, Youth Leadership",Urban,"3,879,000",2024,0.5,,,,"the Social Justice Learning Institute, Youth ‘N Motion Academy, Play Equity Fund, LA84 Foundation, Nike",,Planned,,,,,,,34.0549076,-118.242643,5
Request Pending,End Poverty in California,,California,,0,"EPIC aims to end poverty in California by elevating the voices of people experiencing it, creating and implementing bold policies rooted in their needs, and advancing a state agenda focused on equal opportunity for all. They conduct listening sessions throughout the state to hear the stories and ideas of people living in poverty, and help educate the public and policymakers & provide platforms for people to tell their own stories to help heal feelings of shame and stigma, increase agency, enable political action, and ultimately, change the narrative. EPIC collaborates with partners and lawmakers in order to develop a shared policy agenda focused on poverty elimination and equal opportunity for all.",707,,0,"Economic Mobility & Generational Wealthbuilding, Economic Opportunity",Urban,,,,,,,,,Planned,,,,,,,,,11
Checking with chloe,Verizon,Houston,Texas,,0,,0,,0,,Urban,2.39 million,2024,0.42,,,,,,Planned,,,,,,,,,12
HOLD,Blue Meridian/Ballmer,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,15
No,Cisco,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,16
No,Best Buy,,,,0,,0,,0,,,,,0.48,,,,,,Planned,,,,,,,,,17
Holding for next iteration,Seattle Foundation,Seattle,Washington,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,19
Holding for next iteration,McKnight Foundation,Minneapolis-St.Paul,Minnesota,,0,The GroundBreak Coalition is working to build a new financial system for the region that changes how money flows and where it flows. ,133,,0,Economic Opportunity,Urban,"3,700,000",2023,0.44,,,,,,Planned,,,,,,,,,20
Holding for next iteration,Brookings Institution,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,21
Holding for next iteration,Detroit Regional Workforce Partnership,Detroit,Michigan,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,42.3297182,83.0424533,22
Holding for next iteration,Asian American Foundation,Seattle,Washington,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,23
Holding for next iteration,training for older youth ,,New Mexico,,0,New Mexico consortium that is focused on young people in Northern New Mexico,76,,0,,,,,,,,,,,Planned,,,,,,,,,24
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,Planned,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,
